1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-1.455593	16.780440	0.004961	27.0
144	-1.454288	16.728583	0.004897	30.0
145	-1.458170	16.677150	0.004849	36.1
146	-1.468261	16.626136	0.004714	40.8
147	-1.450110	16.575535	0.004676	27.0
148	-1.469208	16.525341	0.004946	26.6
149	-1.473896	16.475550	0.004962	27.2
150	-1.473595	16.426157	0.004879	27.0
151	-1.462236	16.377155	0.004978	26.7
152	-1.449998	16.328541	0.004847	26.8
153	-1.460766	16.280309	0.004894	27.7
154	-1.466017	16.232453	0.005097	27.0
155	-1.463424	16.184971	0.004826	26.8
156	-1.480501	16.137856	0.004911	26.7
157	-1.481883	16.091105	0.004787	27.3
158	-1.484594	16.044712	0.004658	28.5
159	-1.469792	15.998674	0.004743	27.1
160	-1.477018	15.952985	0.004645	27.8
161	-1.465747	15.907642	0.004718	26.9
162	-1.462395	15.862640	0.004868	27.2
163	-1.453256	15.817976	0.004520	26.9
164	-1.470935	15.773644	0.004484	26.7
165	-1.477710	15.729642	0.004683	27.1
166	-1.460461	15.685965	0.004746	26.9
167	-1.470662	15.642609	0.004688	27.4
168	-1.473884	15.599570	0.004568	27.0
169	-1.467530	15.556845	0.004771	27.0
170	-1.469267	15.514431	0.004590	27.0
171	-1.461644	15.472322	0.004748	28.2
172	-1.483019	15.430517	0.004794	26.9
173	-1.452607	15.389010	0.004667	26.8
174	-1.461873	15.347799	0.004835	27.0
175	-1.478895	15.306881	0.004631	29.2
176	-1.469746	15.266252	0.004815	26.7
177	-1.470916	15.225908	0.004538	27.0
178	-1.455678	15.185847	0.004624	30.4
179	-1.488450	15.146066	0.004815	26.8
180	-1.470089	15.106560	0.004659	26.8
181	-1.472065	15.067327	0.004666	26.8
182	-1.473132	15.028365	0.004745	26.9
183	-1.489072	14.989669	0.004659	26.9
184	-1.463148	14.951237	0.004443	27.0
185	-1.494782	14.913067	0.004843	27.4
186	-1.473077	14.875155	0.004592	27.0
187	-1.486479	14.837498	0.004795	27.1
188	-1.472347	14.800093	0.004456	27.1
189	-1.454763	14.762939	0.004686	26.6
190	-1.477873	14.726032	0.004667	27.1
191	-1.493340	14.689369	0.004765	26.9
192	-1.490047	14.652948	0.004499	28.5
193	-1.457943	14.616767	0.004459	29.9
194	-1.473916	14.580822	0.004626	27.0
195	-1.473368	14.545112	0.004766	26.9
196	-1.465130	14.509633	0.004492	27.4
197	-1.485212	14.474384	0.004470	27.1
198	-1.465026	14.439361	0.004395	26.7
199	-1.469581	14.404564	0.004496	26.7
200	-1.488892	14.369988	0.004671	27.2
201	-1.466903	14.335633	0.004346	27.2
202	-1.479124	14.301495	0.004591	28.7
203	-1.461832	14.267573	0.004445	27.4
204	-1.488400	14.233864	0.004520	26.9
205	-1.482841	14.200366	0.004612	27.3
206	-1.481599	14.167077	0.004519	27.2
207	-1.476248	14.133995	0.004420	27.1
208	-1.496007	14.101118	0.004652	26.6
209	-1.483964	14.068443	0.004631	26.8
210	-1.464133	14.035969	0.004649	30.4
211	-1.487573	14.003694	0.004554	26.7
212	-1.486058	13.971616	0.004593	28.8
213	-1.468189	13.939732	0.004417	27.0
214	-1.499274	13.908041	0.004529	26.9
215	-1.483575	13.876542	0.004477	26.9
216	-1.476043	13.845231	0.004262	26.8
217	-1.488189	13.814108	0.004642	27.3
218	-1.484011	13.783170	0.004678	26.8
219	-1.485948	13.752416	0.004612	28.3
220	-1.476459	13.721844	0.004395	26.8
221	-1.473841	13.691452	0.004530	27.5
222	-1.478123	13.661239	0.004346	27.0
223	-1.466126	13.631202	0.004238	26.9
224	-1.497303	13.601340	0.004585	26.8
225	-1.466263	13.571652	0.004621	26.9
226	-1.486708	13.542136	0.004445	29.9
227	-1.488521	13.512790	0.004542	28.8
228	-1.493519	13.483612	0.004703	27.2
229	-1.474505	13.454602	0.004439	28.1
230	-1.492538	13.425757	0.004733	29.8
231	-1.485325	13.397076	0.004338	26.8
232	-1.486256	13.368558	0.004246	26.9
233	-1.469278	13.340200	0.004272	26.8
234	-1.472356	13.312002	0.004531	27.0
235	-1.480545	13.283962	0.004523	27.0
236	-1.479202	13.256079	0.004375	28.4
237	-1.504340	13.228351	0.004456	27.4
238	-1.472244	13.200777	0.004398	26.7
239	-1.498994	13.173355	0.004504	27.1
240	-1.486798	13.146084	0.004349	27.2
241	-1.479827	13.118963	0.004234	27.4
242	-1.467170	13.091991	0.004477	27.1
243	-1.467609	13.065165	0.004503	26.8
244	-1.481755	13.038485	0.004436	30.0
245	-1.489763	13.011950	0.004619	26.6
246	-1.502431	12.985558	0.004185	27.9
247	-1.475376	12.959308	0.004178	28.9
248	-1.481284	12.933198	0.004196	27.0
249	-1.477127	12.907228	0.004493	26.6
250	-1.488666	12.881397	0.004347	27.1
251	-1.468690	12.855702	0.004290	27.4
252	-1.490102	12.830144	0.004327	26.8
253	-1.470604	12.804720	0.004139	26.7
254	-1.468862	12.779430	0.004343	26.9
255	-1.497936	12.754273	0.004647	27.0
