1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.057736	37.506172	0.008703	99.8
1	-1.046956	37.070290	0.008347	27.9
2	-1.053525	36.647632	0.007297	27.2
3	-1.065339	36.237560	0.008035	27.1
4	-1.056076	35.839476	0.007925	26.8
5	-1.064515	35.452821	0.007845	27.3
6	-1.053406	35.077072	0.007817	29.4
7	-1.064689	34.711736	0.008306	27.4
8	-1.058045	34.356355	0.007804	26.9
9	-1.054535	34.010494	0.008229	28.6
10	-1.048633	33.673746	0.008120	27.2
11	-1.070630	33.345727	0.008135	26.8
12	-1.057909	33.026076	0.008042	28.8
13	-1.053346	32.714452	0.008182	26.7
14	-1.060853	32.410531	0.008140	30.0
15	-1.058172	32.114010	0.008252	27.1
16	-1.074300	31.824600	0.007891	26.8
17	-1.062074	31.542029	0.007573	29.6
18	-1.036427	31.266037	0.007714	27.0
19	-1.067571	30.996380	0.007453	26.9
20	-1.049942	30.732824	0.007595	27.1
21	-1.054424	30.475148	0.008158	27.2
22	-1.064947	30.223143	0.008218	27.1
23	-1.060306	29.976609	0.007867	27.0
24	-1.062156	29.735354	0.007908	26.8
25	-1.060445	29.499198	0.008638	27.2
26	-1.049258	29.267968	0.008041	27.1
27	-1.049873	29.041500	0.008214	26.8
28	-1.055748	28.819635	0.007422	27.1
29	-1.062348	28.602225	0.007543	33.5
30	-1.041137	28.389125	0.008073	39.5
31	-1.062056	28.180199	0.007572	31.3
32	-1.064548	27.975315	0.008205	27.7
33	-1.057301	27.774347	0.008658	27.0
34	-1.058461	27.577176	0.007900	27.7
35	-1.062435	27.383687	0.007948	26.9
36	-1.056643	27.193769	0.007476	26.4
37	-1.060696	27.007316	0.007479	27.2
38	-1.055394	26.824226	0.008108	26.9
39	-1.051702	26.644403	0.007689	27.4
40	-1.070154	26.467753	0.008226	28.0
41	-1.054876	26.294185	0.007813	27.3
42	-1.069425	26.123614	0.007385	27.1
43	-1.067532	25.955956	0.008213	26.8
44	-1.076247	25.791131	0.007905	27.5
45	-1.062587	25.629062	0.008317	28.0
46	-1.059667	25.469675	0.007885	27.1
47	-1.067997	25.312899	0.007233	26.5
48	-1.057584	25.158666	0.007632	30.1
49	-1.062084	25.006908	0.007453	26.9
50	-1.061122	24.857562	0.008480	27.0
51	-1.059628	24.710566	0.008151	29.5
52	-1.062301	24.565861	0.008272	27.2
53	-1.048159	24.423389	0.007697	26.9
54	-1.053258	24.283095	0.007771	27.3
55	-1.054892	24.144925	0.007357	26.8
56	-1.057526	24.008828	0.007583	27.1
57	-1.064091	23.874753	0.007840	27.7
58	-1.058264	23.742653	0.007641	26.9
59	-1.073557	23.612480	0.007348	27.1
60	-1.054177	23.484189	0.008341	26.8
61	-1.069391	23.357736	0.008367	28.8
62	-1.055527	23.233079	0.008266	27.1
63	-1.071757	23.110177	0.008460	27.1
64	-1.051907	22.988990	0.007797	27.0
65	-1.066916	22.869480	0.008515	27.4
66	-1.057515	22.751608	0.007836	26.7
67	-1.059601	22.635340	0.008547	28.8
68	-1.063291	22.520640	0.008125	30.3
69	-1.067795	22.407473	0.008938	27.0
70	-1.070608	22.295807	0.008638	27.0
71	-1.059827	22.185610	0.008119	26.9
72	-1.059485	22.076850	0.007716	27.3
73	-1.058707	21.969498	0.007655	27.3
74	-1.066099	21.863524	0.007960	28.4
75	-1.062734	21.758899	0.008093	27.8
76	-1.082409	21.655597	0.007438	27.1
77	-1.054748	21.553589	0.007595	27.0
78	-1.077031	21.452849	0.007194	26.7
79	-1.059978	21.353354	0.008303	28.7
80	-1.068359	21.255076	0.007471	26.9
81	-1.061233	21.157994	0.008284	27.0
82	-1.056110	21.062082	0.007809	28.1
83	-1.072219	20.967319	0.007941	26.9
84	-1.066299	20.873682	0.007599	27.0
85	-1.069440	20.781150	0.008501	30.5
86	-1.065137	20.689701	0.008045	27.1
87	-1.067712	20.599315	0.007947	26.6
88	-1.063839	20.509973	0.008266	27.0
89	-1.054871	20.421654	0.007393	27.1
90	-1.061050	20.334340	0.008297	27.4
91	-1.059090	20.248013	0.008039	26.5
92	-1.072433	20.162654	0.007707	26.9
93	-1.077370	20.078246	0.008562	27.1
94	-1.088646	19.994772	0.008096	27.1
95	-1.053079	19.912215	0.008062	28.7
96	-1.055601	19.830559	0.008011	27.3
97	-1.070155	19.749788	0.007715	27.0
98	-1.075246	19.669887	0.008452	30.1
99	-1.060771	19.590840	0.007150	26.8
100	-1.069011	19.512633	0.007964	30.0
101	-1.069074	19.435251	0.009133	27.8
102	-1.078073	19.358680	0.008236	29.9
103	-1.065550	19.282907	0.008794	27.0
104	-1.070534	19.207919	0.008197	27.5
105	-1.064785	19.133701	0.007698	26.8
106	-1.060904	19.060242	0.008358	26.9
107	-1.073084	18.987528	0.008190	27.1
108	-1.080694	18.915548	0.007699	27.3
109	-1.069151	18.844289	0.007990	27.9
110	-1.068275	18.773741	0.008026	27.4
111	-1.057756	18.703891	0.008284	26.9
112	-1.070737	18.634728	0.007449	29.4
113	-1.059697	18.566241	0.007916	35.6
114	-1.064109	18.498421	0.007885	26.8
115	-1.057676	18.431256	0.008223	26.9
116	-1.076400	18.364735	0.008506	30.6
117	-1.067088	18.298850	0.007277	35.7
118	-1.075208	18.233590	0.007737	53.3
119	-1.077109	18.168946	0.007664	50.4
120	-1.053837	18.104908	0.007835	37.3
121	-1.063819	18.041468	0.008109	50.3
122	-1.074998	17.978615	0.007872	38.2
123	-1.059395	17.916342	0.007414	39.3
124	-1.064427	17.854640	0.007341	51.3
125	-1.068784	17.793499	0.008172	50.8
126	-1.073754	17.732913	0.007904	50.7
127	-1.066937	17.672873	0.007810	50.5
128	-1.074704	17.613370	0.007884	49.7
129	-1.060531	17.554398	0.007243	50.6
130	-1.069749	17.495948	0.007197	43.9
131	-1.084302	17.438014	0.008372	50.7
132	-1.080094	17.380587	0.007734	49.1
133	-1.062123	17.323660	0.007750	43.2
134	-1.069890	17.267227	0.009100	35.6
135	-1.077579	17.211281	0.008388	30.7
136	-1.078632	17.155815	0.007762	26.9
137	-1.056831	17.100821	0.007878	27.3
138	-1.071004	17.046294	0.008269	33.3
139	-1.077812	16.992228	0.008333	28.4
140	-1.083848	16.938615	0.007894	27.2
141	-1.077357	16.885450	0.008532	26.9
142	-1.072959	16.832727	0.007999	29.4
143	-1.069416	16.780440	0.007687	27.2
144	-1.072397	16.728583	0.008311	27.2
145	-1.081219	16.677150	0.008551	26.9
146	-1.063452	16.626136	0.007757	27.1
147	-1.077833	16.575535	0.007736	26.9
148	-1.083697	16.525341	0.007934	27.2
149	-1.054260	16.475550	0.007536	26.9
150	-1.077074	16.426157	0.008309	26.9
151	-1.079389	16.377155	0.007923	27.1
152	-1.067762	16.328541	0.008273	27.0
153	-1.078645	16.280309	0.008245	27.2
154	-1.069345	16.232453	0.008216	26.8
155	-1.070327	16.184971	0.007724	27.4
156	-1.059110	16.137856	0.008466	27.5
157	-1.074841	16.091105	0.008100	26.8
158	-1.061288	16.044712	0.008022	28.0
159	-1.080974	15.998674	0.007324	29.9
160	-1.071674	15.952985	0.008623	27.1
161	-1.080631	15.907642	0.007925	27.7
162	-1.076192	15.862640	0.007862	26.8
163	-1.065428	15.817976	0.008152	26.9
164	-1.090900	15.773644	0.008472	27.1
165	-1.079366	15.729642	0.007900	29.0
166	-1.082559	15.685965	0.007977	28.8
167	-1.071061	15.642609	0.008533	26.8
168	-1.075912	15.599570	0.007988	27.0
169	-1.079043	15.556845	0.007751	34.9
170	-1.073658	15.514431	0.008054	27.0
171	-1.064244	15.472322	0.007260	26.9
172	-1.063058	15.430517	0.007942	26.8
173	-1.076429	15.389010	0.007900	30.1
174	-1.073663	15.347799	0.008444	27.1
175	-1.070481	15.306881	0.007953	26.9
176	-1.065792	15.266252	0.007568	29.3
177	-1.075370	15.225908	0.008196	27.3
178	-1.084461	15.185847	0.008519	26.7
179	-1.072234	15.146066	0.007960	27.1
180	-1.084445	15.106560	0.007950	27.0
181	-1.068882	15.067327	0.007445	26.9
182	-1.090777	15.028365	0.007626	26.7
183	-1.071115	14.989669	0.008036	27.0
184	-1.067219	14.951237	0.008255	28.2
185	-1.078036	14.913067	0.007525	27.2
186	-1.081114	14.875155	0.007325	26.9
187	-1.090937	14.837498	0.007765	27.1
188	-1.071346	14.800093	0.007343	26.9
189	-1.080750	14.762939	0.008448	27.1
190	-1.081829	14.726032	0.007680	26.9
191	-1.092109	14.689369	0.009082	28.3
192	-1.075823	14.652948	0.008214	28.7
193	-1.085482	14.616767	0.007720	30.3
194	-1.074700	14.580822	0.008109	28.1
195	-1.082737	14.545112	0.007970	26.8
196	-1.076712	14.509633	0.007770	27.3
197	-1.077961	14.474384	0.007875	26.9
198	-1.092417	14.439361	0.008667	26.9
199	-1.069190	14.404564	0.007757	28.6
200	-1.074166	14.369988	0.007915	27.2
201	-1.087604	14.335633	0.008016	26.7
202	-1.076074	14.301495	0.007078	27.9
203	-1.071448	14.267573	0.007989	27.3
204	-1.086879	14.233864	0.008180	26.8
205	-1.066788	14.200366	0.008330	27.0
206	-1.071714	14.167077	0.007705	27.0
207	-1.070282	14.133995	0.007832	26.7
208	-1.077152	14.101118	0.007466	29.7
209	-1.059741	14.068443	0.007889	27.5
210	-1.058181	14.035969	0.007686	29.9
211	-1.071181	14.003694	0.008135	27.0
212	-1.089139	13.971616	0.008037	27.7
213	-1.075809	13.939732	0.008714	26.9
214	-1.083373	13.908041	0.007580	26.9
215	-1.082503	13.876542	0.008250	27.3
216	-1.069696	13.845231	0.007794	27.0
217	-1.078882	13.814108	0.008292	27.2
218	-1.086522	13.783170	0.008631	29.0
219	-1.069421	13.752416	0.008339	27.0
220	-1.083398	13.721844	0.007545	26.9
221	-1.071352	13.691452	0.007824	26.9
222	-1.082944	13.661239	0.007913	27.0
223	-1.064347	13.631202	0.008052	27.5
224	-1.083404	13.601340	0.008596	26.9
225	-1.071720	13.571652	0.007702	28.7
226	-1.085515	13.542136	0.007706	27.6
227	-1.061190	13.512790	0.007100	27.7
228	-1.079714	13.483612	0.008315	27.8
229	-1.083068	13.454602	0.008833	27.4
230	-1.083613	13.425757	0.007791	27.0
231	-1.060056	13.397076	0.007149	26.7
232	-1.085311	13.368558	0.008070	27.0
233	-1.084751	13.340200	0.007662	27.5
234	-1.083446	13.312002	0.007777	28.9
235	-1.083224	13.283962	0.008037	27.3
236	-1.086398	13.256079	0.009108	28.8
237	-1.077639	13.228351	0.007901	27.3
238	-1.072155	13.200777	0.007971	26.8
239	-1.080151	13.173355	0.008385	26.9
240	-1.087823	13.146084	0.008218	27.1
241	-1.063549	13.118963	0.007535	27.3
242	-1.083053	13.091991	0.008343	30.1
243	-1.075963	13.065165	0.007012	26.8
244	-1.074487	13.038485	0.008129	26.9
245	-1.078279	13.011950	0.008885	26.8
246	-1.083529	12.985558	0.007334	26.9
247	-1.072124	12.959308	0.007948	26.6
248	-1.088202	12.933198	0.007741	26.9
249	-1.082150	12.907228	0.007806	26.8
250	-1.078661	12.881397	0.007923	27.3
251	-1.090231	12.855702	0.008242	27.1
252	-1.072797	12.830144	0.007862	29.0
253	-1.079256	12.804720	0.007742	28.9
254	-1.084356	12.779430	0.007461	27.1
255	-1.082680	12.754273	0.007834	26.8
256	-1.094222	12.729246	0.008329	26.8
257	-1.093129	12.704350	0.007786	27.0
258	-1.099998	12.679583	0.008312	26.9
259	-1.079086	12.654945	0.008557	30.5
260	-1.066405	12.630433	0.007729	26.8
261	-1.073906	12.606047	0.007701	27.8
262	-1.076901	12.581786	0.007171	29.8
263	-1.090459	12.557649	0.008568	27.3
264	-1.072180	12.533635	0.007364	27.1
265	-1.079833	12.509742	0.007552	27.1
266	-1.072524	12.485971	0.008027	27.0
267	-1.098181	12.462319	0.008203	27.1
268	-1.080126	12.438786	0.007745	29.1
269	-1.082123	12.415371	0.007580	28.1
270	-1.084509	12.392073	0.007932	28.5
271	-1.088284	12.368891	0.007615	26.8
272	-1.075248	12.345824	0.008271	27.5
273	-1.087388	12.322871	0.008284	28.3
274	-1.072880	12.300031	0.008058	26.9
275	-1.084816	12.277304	0.008203	29.7
276	-1.079179	12.254688	0.008163	30.1
277	-1.075221	12.232182	0.008237	27.1
278	-1.072237	12.209786	0.007992	26.8
279	-1.089220	12.187499	0.008022	27.0
280	-1.082939	12.165320	0.008370	27.0
281	-1.069747	12.143248	0.007507	27.4
282	-1.087155	12.121282	0.008759	26.9
283	-1.075748	12.099422	0.007857	26.9
284	-1.078747	12.077666	0.008306	27.0
285	-1.083874	12.056014	0.007482	27.8
286	-1.076506	12.034465	0.007900	28.6
287	-1.080879	12.013018	0.007858	27.0
288	-1.087832	11.991673	0.008465	26.8
289	-1.077906	11.970428	0.007486	27.2
290	-1.067283	11.949283	0.007568	26.9
291	-1.081096	11.928237	0.007645	27.3
292	-1.083493	11.907290	0.008219	26.9
293	-1.083337	11.886440	0.008114	27.5
294	-1.095035	11.865687	0.007745	27.2
295	-1.075897	11.845030	0.007404	28.6
296	-1.089098	11.824469	0.007773	29.3
297	-1.096577	11.804002	0.008105	27.4
298	-1.078102	11.783630	0.007923	27.0
299	-1.086265	11.763350	0.008719	27.1
300	-1.068032	11.743163	0.008636	27.0
301	-1.081296	11.723069	0.007236	27.2
302	-1.097160	11.703065	0.008273	28.3
303	-1.087358	11.683152	0.008068	27.5
304	-1.070306	11.663329	0.007507	27.3
305	-1.083115	11.643595	0.008516	26.9
306	-1.082828	11.623950	0.008215	39.2
307	-1.069897	11.604392	0.007441	27.1
308	-1.082712	11.584923	0.008070	26.9
309	-1.078026	11.565539	0.007629	27.1
310	-1.092974	11.546242	0.007850	30.3
311	-1.074198	11.527030	0.007552	27.0
312	-1.079288	11.507903	0.007766	27.2
313	-1.073659	11.488861	0.008188	27.3
314	-1.068624	11.469901	0.007531	27.1
315	-1.086351	11.451025	0.007720	27.0
316	-1.081552	11.432232	0.008237	26.9
317	-1.074454	11.413520	0.008343	26.9
318	-1.067372	11.394890	0.007311	27.1
319	-1.071774	11.376340	0.008173	28.9
320	-1.078325	11.357870	0.007873	27.1
321	-1.091737	11.339480	0.007368	27.0
322	-1.078274	11.321169	0.008272	26.9
323	-1.084902	11.302936	0.008016	27.0
