1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.852298	0.000000	10.066747	0.060700	1574.0
1	-0.853787	0.000000	10.066747	0.065090	30.8
2	-0.852378	1.000000	9.609168	0.017830	22.8
3	-0.866334	2.000000	9.191378	0.046464	23.6
4	-0.854429	1.768956	9.284646	0.058008	22.8
5	-0.858917	2.768956	8.894025	0.049011	22.6
6	-0.866823	3.768956	8.534946	0.021084	22.9
7	-0.862384	4.768956	8.203735	0.024862	23.0
8	-0.856048	4.537930	8.277949	0.051272	22.8
9	-0.846062	5.537930	7.966020	0.055768	22.3
10	-0.861585	6.537930	7.676746	0.026772	23.8
11	-0.858718	7.537930	7.407744	0.017349	22.7
12	-0.860381	8.502514	7.165548	0.034058	27.0
13	-0.864024	9.502513	6.930632	0.029883	22.6
14	-0.863147	10.502513	6.710629	0.024756	23.4
15	-0.862467	10.433757	6.725308	0.058094	26.7
16	-0.856543	11.433757	6.517953	0.050299	22.4
17	-0.865810	12.433757	6.323001	0.037031	23.6
18	-0.850072	13.433304	6.139454	0.049617	22.6
19	-0.853855	14.433304	5.966186	0.015140	23.5
20	-0.862911	15.433304	5.802430	0.012446	22.6
21	-0.855174	15.204844	5.839044	0.011305	23.6
22	-0.865941	14.994261	5.873206	0.025472	24.8
23	-0.865372	15.969770	5.718231	0.038889	24.3
24	-0.860620	16.969770	5.567632	0.034487	23.8
25	-0.860660	17.969769	5.424761	0.020178	23.2
26	-0.863997	17.774654	5.452059	0.039112	23.5
27	-0.861632	17.579784	5.479598	0.030958	23.5
28	-0.867733	18.577277	5.341492	0.044535	23.5
29	-0.860336	19.577277	5.209854	0.038856	22.3
30	-0.850036	20.577277	5.084549	0.034408	22.8
31	-0.865679	21.577277	4.965129	0.012384	23.7
32	-0.858116	22.567234	4.852309	0.009541	23.0
33	-0.865248	22.398753	4.871147	0.022339	22.6
34	-0.858212	22.174216	4.896480	0.019540	22.6
35	-0.852914	23.174155	4.785642	0.008465	24.6
36	-0.877383	23.809790	4.717757	0.018347	22.4
37	-0.858883	23.617962	4.738040	0.030856	23.3
38	-0.861763	24.617961	4.634177	0.042868	22.2
39	-0.863785	25.617961	4.534769	0.047483	24.3
40	-0.866605	26.617961	4.439537	0.023351	22.9
41	-0.867311	27.617960	4.348222	0.036923	23.4
42	-0.860840	28.617960	4.260588	0.020851	24.8
43	-0.873223	29.617892	4.176422	0.018571	23.0
44	-0.872354	29.742037	4.166204	0.015292	23.0
45	-0.858422	30.712239	4.088040	0.019751	22.8
46	-0.863390	31.708427	4.010776	0.014895	23.0
47	-0.867303	32.683201	3.937949	0.018832	23.0
48	-0.853985	33.279587	3.894681	0.011380	23.1
49	-0.860607	34.090827	3.837330	0.025440	22.3
50	-0.870267	33.914698	3.849638	0.023194	23.8
51	-0.871275	34.914690	3.780790	0.020935	22.3
52	-0.863886	35.714276	3.727486	0.033303	23.5
53	-0.856405	36.714276	3.662901	0.010162	24.2
54	-0.875473	36.483379	3.677614	0.004824	25.9
55	-0.867225	36.424468	3.681387	0.011998	22.5
56	-0.868743	36.679109	3.665134	0.015100	22.4
57	-0.874347	36.462219	3.678968	0.025806	23.3
58	-0.861897	36.231470	3.693801	0.017583	34.3
59	-0.864075	37.231396	3.630373	0.025116	22.4
60	-0.862322	37.069871	3.640471	0.028195	24.8
61	-0.857342	38.069871	3.578841	0.018226	23.7
62	-0.855989	39.068447	3.519347	0.034595	25.0
63	-0.873302	40.068447	3.461717	0.019847	24.2
64	-0.858852	39.839979	3.474717	0.027466	22.6
65	-0.869269	40.839721	3.418542	0.015529	23.4
66	-0.857256	41.829465	3.364690	0.039939	24.3
67	-0.858513	42.829462	3.311977	0.028142	23.1
68	-0.848271	43.829462	3.260889	0.022814	22.7
69	-0.868136	44.829462	3.211354	0.023011	22.9
70	-0.860428	44.598423	3.222664	0.022427	26.4
71	-0.853915	45.598345	3.174278	0.003398	22.9
72	-0.864386	46.080574	3.151459	0.011557	23.0
73	-0.865579	46.289210	3.141688	0.016308	26.1
74	-0.864789	47.144655	3.102249	0.007453	23.2
75	-0.877159	46.941886	3.111508	0.007603	23.2
76	-0.867039	47.136743	3.102609	0.019552	22.7
77	-0.869688	47.058062	3.106196	0.020650	22.9
78	-0.856308	46.827050	3.116776	0.027140	23.3
79	-0.860935	47.827047	3.071492	0.011796	23.4
80	-0.865039	47.596075	3.081834	0.019373	22.4
81	-0.862794	48.416677	3.045402	0.022738	23.5
82	-0.864110	49.415066	3.002222	0.027397	22.8
83	-0.868948	50.415066	2.960183	0.041415	23.6
84	-0.862144	51.415066	2.919305	0.030495	22.7
85	-0.871013	52.415066	2.879541	0.019002	25.4
86	-0.858278	53.413484	2.840906	0.016807	23.2
87	-0.860520	54.396518	2.803865	0.009201	22.7
