1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.544635	37.506172	0.005573	100.0
1	-1.546339	37.070290	0.005673	27.9
2	-1.547515	36.647632	0.005480	30.1
3	-1.537796	36.237560	0.005526	27.8
4	-1.538870	35.839476	0.005632	27.4
5	-1.550243	35.452821	0.005614	28.1
6	-1.553726	35.077072	0.005652	27.7
7	-1.549688	34.711736	0.005488	27.8
8	-1.570756	34.356355	0.005763	27.8
9	-1.551156	34.010494	0.005645	27.8
10	-1.540574	33.673746	0.005772	27.6
11	-1.559735	33.345727	0.005574	27.3
12	-1.567924	33.026076	0.005615	28.0
13	-1.559170	32.714452	0.005528	40.3
14	-1.555539	32.410531	0.005668	45.9
15	-1.563443	32.114010	0.005701	41.2
16	-1.551096	31.824600	0.005797	49.6
17	-1.567620	31.542029	0.005703	36.0
18	-1.556468	31.266037	0.005687	27.6
19	-1.554670	30.996380	0.005622	27.4
20	-1.555962	30.732824	0.005760	27.2
21	-1.553172	30.475148	0.005592	28.1
22	-1.548451	30.223143	0.005563	27.4
23	-1.576960	29.976609	0.005790	29.1
24	-1.552646	29.735354	0.005701	28.7
25	-1.572827	29.499198	0.005676	27.6
26	-1.567399	29.267968	0.005732	27.6
27	-1.550973	29.041500	0.005660	28.1
28	-1.567967	28.819635	0.005539	27.6
29	-1.566483	28.602225	0.005609	28.0
30	-1.560940	28.389125	0.005722	28.5
31	-1.571249	28.180199	0.005684	28.8
32	-1.552167	27.975315	0.005764	28.6
33	-1.573491	27.774347	0.005747	28.3
34	-1.576213	27.577176	0.005647	27.7
35	-1.583599	27.383687	0.005763	27.4
36	-1.578323	27.193769	0.005666	28.8
37	-1.581211	27.007316	0.005724	27.9
38	-1.579004	26.824226	0.005624	27.8
39	-1.567854	26.644403	0.005694	33.7
40	-1.561962	26.467753	0.005649	27.8
41	-1.567587	26.294185	0.005774	27.7
42	-1.564725	26.123614	0.005782	27.3
43	-1.565184	25.955956	0.005537	28.2
44	-1.579921	25.791131	0.005833	27.7
45	-1.578196	25.629062	0.005811	27.5
46	-1.578593	25.469675	0.005994	27.4
47	-1.579975	25.312899	0.005911	28.9
48	-1.569707	25.158666	0.005624	27.6
49	-1.592965	25.006908	0.005698	27.7
50	-1.581949	24.857562	0.005787	28.5
51	-1.572685	24.710566	0.005714	27.8
52	-1.577085	24.565861	0.005654	29.1
53	-1.583379	24.423389	0.005893	27.6
54	-1.589295	24.283095	0.005572	27.4
55	-1.577768	24.144925	0.005703	27.8
56	-1.605429	24.008828	0.005853	27.8
57	-1.593740	23.874753	0.005769	29.7
58	-1.587266	23.742653	0.005699	27.9
59	-1.586216	23.612480	0.005754	28.1
60	-1.593623	23.484189	0.005825	28.5
61	-1.588065	23.357736	0.005765	27.8
62	-1.585036	23.233079	0.005781	27.8
63	-1.588377	23.110177	0.005803	28.2
64	-1.572673	22.988990	0.005656	28.2
65	-1.590218	22.869480	0.005742	27.4
66	-1.591791	22.751608	0.005638	27.5
67	-1.594706	22.635340	0.005891	29.3
68	-1.612030	22.520640	0.005980	27.3
69	-1.605135	22.407473	0.006000	27.7
70	-1.602078	22.295807	0.005803	27.9
71	-1.593853	22.185610	0.005880	27.2
72	-1.601382	22.076850	0.005914	27.4
73	-1.610054	21.969498	0.005805	28.0
74	-1.600730	21.863524	0.005779	28.1
75	-1.599565	21.758899	0.005822	27.5
76	-1.608009	21.655597	0.005838	27.7
77	-1.594835	21.553589	0.005915	28.0
78	-1.597318	21.452849	0.005657	27.9
79	-1.598473	21.353354	0.005827	28.6
80	-1.625083	21.255076	0.005919	34.2
81	-1.603543	21.157994	0.005781	49.7
82	-1.585681	21.062082	0.005623	48.9
83	-1.594723	20.967319	0.005615	36.8
84	-1.594423	20.873682	0.005854	49.1
85	-1.614647	20.781150	0.005876	50.9
86	-1.595971	20.689701	0.005622	50.4
87	-1.599179	20.599315	0.005671	47.4
88	-1.606937	20.509973	0.005911	50.4
89	-1.610360	20.421654	0.005953	37.6
90	-1.602194	20.334340	0.005755	50.7
91	-1.603759	20.248013	0.005916	52.1
92	-1.608562	20.162654	0.006007	50.5
93	-1.600242	20.078246	0.005663	50.6
94	-1.633661	19.994772	0.005836	39.8
95	-1.626912	19.912215	0.005804	46.5
96	-1.619687	19.830559	0.005821	50.1
97	-1.606282	19.749788	0.005696	50.1
98	-1.631767	19.669887	0.005843	51.4
99	-1.604913	19.590840	0.005657	51.5
100	-1.612780	19.512633	0.005945	35.0
101	-1.607650	19.435251	0.005789	28.1
102	-1.606694	19.358680	0.005595	29.9
103	-1.610861	19.282907	0.005776	32.1
104	-1.611383	19.207919	0.005698	31.2
105	-1.613350	19.133701	0.005616	28.3
106	-1.606745	19.060242	0.005705	28.2
107	-1.621968	18.987528	0.005805	27.5
108	-1.619472	18.915548	0.005793	27.3
109	-1.629891	18.844289	0.005912	27.8
110	-1.615727	18.773741	0.005848	28.2
111	-1.611346	18.703891	0.005885	29.4
112	-1.613619	18.634728	0.005833	27.9
113	-1.620353	18.566241	0.005638	27.4
114	-1.624344	18.498421	0.005794	27.5
115	-1.627443	18.431256	0.005862	27.5
116	-1.625469	18.364735	0.006106	27.4
117	-1.617894	18.298850	0.005839	28.5
118	-1.636179	18.233590	0.005991	27.3
119	-1.637138	18.168946	0.005809	30.7
120	-1.626220	18.104908	0.005690	27.5
121	-1.620165	18.041468	0.005847	29.9
122	-1.638433	17.978615	0.005766	28.0
123	-1.618970	17.916342	0.005687	29.5
124	-1.611022	17.854640	0.005678	27.8
125	-1.632697	17.793499	0.005621	27.9
126	-1.638288	17.732913	0.006003	28.0
127	-1.629733	17.672873	0.005712	29.7
128	-1.625910	17.613370	0.005904	36.2
129	-1.613384	17.554398	0.005494	35.8
130	-1.623361	17.495948	0.005765	27.7
131	-1.625383	17.438014	0.005943	27.4
132	-1.608989	17.380587	0.005775	27.5
133	-1.632480	17.323660	0.005772	27.2
134	-1.634218	17.267227	0.005704	27.1
135	-1.633171	17.211281	0.005835	30.5
136	-1.627739	17.155815	0.005943	27.5
137	-1.648094	17.100821	0.005886	31.7
138	-1.636019	17.046294	0.005745	27.7
139	-1.615412	16.992228	0.005697	27.5
140	-1.636317	16.938615	0.005735	27.3
141	-1.633055	16.885450	0.005727	27.5
142	-1.626706	16.832727	0.005597	27.6
143	-1.630901	16.780440	0.005829	27.9
144	-1.634226	16.728583	0.005786	28.8
145	-1.635417	16.677150	0.005671	27.7
146	-1.633441	16.626136	0.005613	27.5
147	-1.609519	16.575535	0.005468	27.6
148	-1.628112	16.525341	0.005561	27.5
149	-1.643348	16.475550	0.005498	27.1
150	-1.623470	16.426157	0.005546	27.1
151	-1.638393	16.377155	0.005668	27.6
152	-1.632510	16.328541	0.005602	31.0
153	-1.650156	16.280309	0.005731	27.4
154	-1.639323	16.232453	0.005821	29.7
155	-1.633282	16.184971	0.005703	27.9
156	-1.645739	16.137856	0.005593	27.1
157	-1.636781	16.091105	0.005832	28.0
158	-1.624694	16.044712	0.005556	27.5
159	-1.646708	15.998674	0.005781	28.2
160	-1.636201	15.952985	0.005753	27.7
161	-1.642944	15.907642	0.005651	27.8
162	-1.653105	15.862640	0.005990	28.9
163	-1.646335	15.817976	0.005863	27.9
164	-1.626599	15.773644	0.005790	27.8
165	-1.647808	15.729642	0.005718	27.8
166	-1.649019	15.685965	0.005821	27.7
167	-1.654617	15.642609	0.005851	28.3
168	-1.645709	15.599570	0.005500	27.6
169	-1.646668	15.556845	0.005677	27.7
170	-1.653276	15.514431	0.005652	28.0
171	-1.639385	15.472322	0.005563	29.7
172	-1.654003	15.430517	0.005593	27.6
173	-1.657560	15.389010	0.005707	27.9
174	-1.646629	15.347799	0.005608	27.5
175	-1.652194	15.306881	0.005600	27.2
176	-1.650461	15.266252	0.005750	27.5
177	-1.660422	15.225908	0.005668	28.1
178	-1.656415	15.185847	0.005552	28.7
179	-1.653522	15.146066	0.005708	27.8
180	-1.646370	15.106560	0.005765	27.5
181	-1.641942	15.067327	0.005697	28.4
182	-1.659914	15.028365	0.005555	27.5
183	-1.657839	14.989669	0.005596	27.5
184	-1.636688	14.951237	0.005478	27.5
185	-1.659533	14.913067	0.005600	27.6
186	-1.660188	14.875155	0.005656	28.2
187	-1.656700	14.837498	0.005441	27.3
188	-1.659564	14.800093	0.005635	29.8
189	-1.658314	14.762939	0.005533	27.7
190	-1.646017	14.726032	0.005465	27.4
191	-1.666343	14.689369	0.005766	30.8
192	-1.657191	14.652948	0.005797	27.5
193	-1.647321	14.616767	0.005147	28.0
194	-1.658022	14.580822	0.005527	27.1
195	-1.661940	14.545112	0.005703	29.4
196	-1.646704	14.509633	0.005517	27.4
197	-1.660663	14.474384	0.005444	27.5
198	-1.654340	14.439361	0.005501	27.4
199	-1.659918	14.404564	0.005325	27.4
200	-1.669336	14.369988	0.005524	27.9
201	-1.659567	14.335633	0.005691	27.8
202	-1.645794	14.301495	0.005368	31.3
203	-1.662013	14.267573	0.005590	27.4
204	-1.663422	14.233864	0.005474	28.0
205	-1.658800	14.200366	0.005465	30.7
206	-1.645869	14.167077	0.005319	27.8
207	-1.666892	14.133995	0.005548	28.0
208	-1.654285	14.101118	0.005408	28.0
209	-1.668390	14.068443	0.005494	27.9
210	-1.664683	14.035969	0.005339	27.8
211	-1.661965	14.003694	0.005689	28.3
212	-1.645492	13.971616	0.005338	28.2
213	-1.659777	13.939732	0.005419	27.8
214	-1.666873	13.908041	0.005443	27.9
215	-1.672387	13.876542	0.005346	28.2
216	-1.650546	13.845231	0.005240	27.8
217	-1.663458	13.814108	0.005181	27.7
218	-1.684853	13.783170	0.005459	27.7
219	-1.675752	13.752416	0.005346	30.3
220	-1.666329	13.721844	0.005564	27.5
221	-1.665444	13.691452	0.005540	27.5
222	-1.665907	13.661239	0.005303	30.1
223	-1.669561	13.631202	0.005272	27.6
224	-1.663192	13.601340	0.005286	27.5
225	-1.657332	13.571652	0.005214	27.3
226	-1.659786	13.542136	0.005246	27.6
227	-1.656023	13.512790	0.005357	27.9
228	-1.667854	13.483612	0.005217	29.8
229	-1.667345	13.454602	0.005441	27.8
230	-1.655648	13.425757	0.005450	27.6
231	-1.651133	13.397076	0.005450	27.7
232	-1.679868	13.368558	0.005427	27.8
233	-1.676250	13.340200	0.005309	27.9
234	-1.662880	13.312002	0.005210	27.7
235	-1.668456	13.283962	0.005414	27.7
236	-1.672991	13.256079	0.005529	31.2
237	-1.659902	13.228351	0.005276	27.7
238	-1.665446	13.200777	0.005482	31.0
239	-1.675686	13.173355	0.005425	28.2
240	-1.681476	13.146084	0.005302	27.8
241	-1.664616	13.118963	0.005192	28.1
242	-1.674332	13.091991	0.005452	27.9
243	-1.666945	13.065165	0.005265	28.0
244	-1.661265	13.038485	0.005428	27.9
245	-1.669467	13.011950	0.005317	29.1
246	-1.680085	12.985558	0.005067	28.4
247	-1.675485	12.959308	0.005282	27.6
248	-1.668041	12.933198	0.005264	27.7
249	-1.666116	12.907228	0.005051	27.7
250	-1.676438	12.881397	0.005199	28.0
251	-1.677014	12.855702	0.005192	28.1
252	-1.662912	12.830144	0.005070	27.6
253	-1.676885	12.804720	0.005266	30.9
254	-1.671534	12.779430	0.005290	27.5
255	-1.660399	12.754273	0.005170	30.2
256	-1.674718	12.729246	0.005243	27.3
257	-1.672048	12.704350	0.005169	27.8
