1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.849387	0.000000	36.606589	0.075238	635.5
1	-0.899742	0.000000	36.606589	0.050509	21.8
2	-0.903362	1.000000	34.942653	0.051604	24.3
3	-0.910832	2.000000	33.423408	0.055416	21.6
4	-0.921653	3.000000	32.030766	0.052933	22.1
5	-0.932572	4.000000	30.749535	0.050215	21.2
6	-0.925942	5.000000	29.566861	0.047623	20.6
7	-0.957961	6.000000	28.471792	0.046084	19.2
8	-0.959228	7.000000	27.454942	0.046150	20.2
9	-0.968412	8.000000	26.508220	0.040620	20.1
10	-0.977957	9.000000	25.624612	0.038312	20.4
11	-0.976526	10.000000	24.798012	0.036024	21.0
12	-0.988700	11.000000	24.023074	0.028009	20.0
13	-0.990620	12.000000	23.295102	0.022644	19.5
14	-0.992738	13.000000	22.609952	0.018124	19.6
15	-0.992587	14.000000	21.963954	0.012825	19.0
16	-0.996398	13.989026	21.970842	0.010873	20.1
17	-0.999442	13.978052	21.977735	0.010744	19.5
18	-0.998943	13.967078	21.984633	0.011564	19.5
19	-1.010120	13.956104	21.991534	0.012132	19.0
20	-1.008761	13.945130	21.998441	0.012370	21.9
21	-1.008698	13.934157	22.005351	0.014577	21.0
22	-1.013190	13.923183	22.012266	0.018715	19.2
23	-1.016309	14.923183	21.399506	0.018396	19.1
24	-1.013962	15.923183	20.819938	0.013173	22.9
25	-1.026614	16.923183	20.270935	0.010193	19.8
26	-1.020178	16.912209	20.276803	0.010045	19.2
27	-1.028393	16.901235	20.282674	0.010389	19.1
28	-1.022048	16.890261	20.288548	0.011241	19.3
29	-1.027888	16.879287	20.294426	0.014599	19.3
30	-1.032219	16.868313	20.300307	0.017719	19.1
31	-1.027448	17.868313	19.778023	0.017478	19.5
32	-1.026765	18.868313	19.281939	0.021267	20.5
33	-1.028649	19.868313	18.810132	0.025620	19.6
34	-1.028318	20.868313	18.360863	0.029072	19.3
35	-1.025490	21.868313	17.932555	0.036253	19.3
36	-1.025883	22.868313	17.523773	0.037256	35.7
37	-1.038427	23.868313	17.133213	0.035791	19.4
38	-1.032355	24.868313	16.759683	0.032792	20.6
39	-1.033408	25.868313	16.402092	0.027139	19.2
40	-1.039505	26.868313	16.059441	0.022296	22.9
41	-1.029675	27.868313	15.730815	0.019258	29.0
42	-1.042252	28.868313	15.415368	0.013244	22.9
43	-1.036756	29.868313	15.112323	0.007305	19.2
44	-1.046457	29.857339	15.115584	0.007428	19.8
45	-1.041504	29.846365	15.118846	0.010153	19.3
46	-1.042822	29.835391	15.122110	0.008789	19.8
47	-1.046333	29.824418	15.125375	0.007792	19.1
48	-1.048414	29.813444	15.128642	0.007617	19.4
49	-1.057342	29.802470	15.131909	0.009265	19.3
50	-1.053183	29.791496	15.135179	0.010828	19.3
51	-1.051802	30.221038	15.008254	0.012164	19.0
52	-1.049994	31.221038	14.720856	0.013192	19.1
53	-1.048184	32.221038	14.444257	0.012925	20.0
54	-1.056246	33.221038	14.177862	0.009506	19.7
55	-1.047396	34.221038	13.921114	0.006660	20.5
56	-1.051473	34.210064	13.923881	0.006904	19.8
57	-1.049406	34.199091	13.926649	0.010520	20.0
58	-1.051771	34.188117	13.929419	0.007558	19.4
59	-1.059498	34.177143	13.932189	0.007117	19.5
60	-1.048797	34.166169	13.934960	0.007881	19.5
61	-1.057330	34.155195	13.937733	0.006724	19.5
62	-1.048441	34.144221	13.940507	0.011091	19.5
63	-1.051164	34.133247	13.943281	0.013490	19.1
64	-1.062160	35.133247	13.694885	0.011363	19.3
65	-1.051522	36.133247	13.455184	0.012162	22.5
66	-1.061519	37.133247	13.223730	0.012158	19.9
67	-1.054546	38.133247	13.000104	0.014559	19.0
68	-1.057184	39.133247	12.783916	0.013192	22.3
69	-1.061804	40.133247	12.574800	0.017211	19.6
70	-1.054188	41.133247	12.372416	0.019479	19.4
71	-1.049453	42.133247	12.176443	0.012755	20.4
72	-1.059611	43.133247	11.986581	0.009573	19.1
73	-1.057250	44.133247	11.802550	0.007140	19.4
74	-1.060968	44.122273	11.804538	0.008510	19.3
75	-1.056856	45.122273	11.626012	0.005814	19.8
76	-1.064252	45.111299	11.627942	0.005667	22.4
77	-1.062973	45.100325	11.629873	0.004757	20.0
78	-1.057072	45.089352	11.631804	0.006366	19.5
79	-1.059632	45.078378	11.633736	0.005694	19.7
80	-1.060290	45.067404	11.635668	0.006320	19.7
81	-1.053947	45.056430	11.637601	0.004518	19.5
82	-1.068049	45.045456	11.639535	0.005363	19.5
83	-1.056799	45.034482	11.641469	0.009219	20.3
