1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-1.056463	93.357968	4.509700	0.005078	25.1
117	-1.046640	93.344665	4.510225	0.011294	20.6
118	-1.051420	94.344664	4.471123	0.001737	19.8
119	-1.055368	95.251355	4.436251	0.007053	19.7
120	-1.055595	95.237780	4.436769	0.013389	19.6
121	-1.053924	96.237780	4.398925	0.012808	19.9
122	-1.042300	97.237780	4.361720	0.005741	20.1
123	-1.063054	98.237780	4.325140	0.002777	19.4
124	-1.053680	98.272426	4.323884	0.011596	19.7
125	-1.051927	98.262783	4.324234	0.018493	19.7
126	-1.061140	99.262783	4.288277	0.004807	19.8
127	-1.052179	100.262783	4.252914	0.012495	19.5
128	-1.058102	101.262502	4.218138	0.010807	19.6
129	-1.056299	102.262502	4.183918	0.008271	19.5
130	-1.057206	103.262502	4.150248	0.005447	19.8
131	-1.042852	103.248828	4.150704	0.017755	19.5
132	-1.058461	104.248828	4.117565	0.011890	19.5
133	-1.056164	105.248828	4.084950	0.010842	19.5
134	-1.049650	105.235154	4.085392	0.020989	19.5
135	-1.046524	106.235154	4.053283	0.005326	21.5
136	-1.048432	107.235154	4.021675	0.014508	19.6
137	-1.047681	108.235154	3.990556	0.011165	19.5
138	-1.045148	109.235154	3.959915	0.007396	25.1
139	-1.060764	109.221480	3.960331	0.010965	19.7
140	-1.053659	109.207811	3.960747	0.007252	20.3
141	-1.047274	110.207811	3.930560	0.013816	19.5
142	-1.052374	110.201831	3.930739	0.010863	19.8
143	-1.051248	111.201831	3.901006	0.004162	19.4
144	-1.048752	112.201830	3.871720	0.002756	19.6
145	-1.052768	112.188528	3.872106	0.004167	19.6
146	-1.043080	112.175936	3.872472	0.006017	19.7
147	-1.051442	113.159550	3.844081	0.007613	19.8
148	-1.056618	113.145876	3.844473	0.002990	20.2
149	-1.051828	113.137924	3.844701	0.019919	19.9
150	-1.053747	114.101222	3.817287	0.006831	19.8
151	-1.053165	115.101222	3.789240	0.010218	24.0
152	-1.054048	116.101213	3.761602	0.009018	20.1
153	-1.050931	117.101213	3.734364	0.011486	19.8
154	-1.053632	117.087539	3.734733	0.015610	19.8
155	-1.062028	118.087539	3.707882	0.006038	20.2
156	-1.058285	118.073865	3.708246	0.002446	19.6
157	-1.049512	118.100999	3.707523	0.009348	23.2
158	-1.049283	118.691921	3.691839	0.003372	19.6
159	-1.047285	118.678248	3.692201	0.011282	20.3
160	-1.046051	119.674022	3.666065	0.005815	22.2
161	-1.036095	120.674020	3.640189	0.004882	19.6
162	-1.056663	121.529875	3.618330	0.013411	20.3
163	-1.056739	122.529875	3.593121	0.012777	20.1
164	-1.045047	123.529875	3.568260	0.007438	19.7
165	-1.055185	124.529875	3.543741	0.001561	19.6
166	-1.049010	124.516913	3.544056	0.017551	20.2
167	-1.053991	125.353174	3.523806	0.004809	20.0
168	-1.056593	126.353174	3.499892	0.011782	20.2
169	-1.046984	126.339500	3.500216	0.009737	19.6
170	-1.041427	126.325825	3.500541	0.013615	20.1
171	-1.053913	127.325825	3.476941	0.009520	19.5
172	-1.057811	128.325825	3.453657	0.006045	19.8
173	-1.048933	128.312151	3.453973	0.008719	19.6
174	-1.055950	129.312149	3.430994	0.002246	19.5
175	-1.058439	129.299221	3.431290	0.008790	19.7
176	-1.050667	129.427270	3.428369	0.002341	19.8
177	-1.052985	130.271031	3.409246	0.008373	19.9
178	-1.052957	130.281869	3.409002	0.007907	20.3
179	-1.056701	130.268195	3.409310	0.006251	23.5
180	-1.060170	131.268195	3.386920	0.007674	20.0
181	-1.054465	131.254521	3.387224	0.013352	19.6
182	-1.056422	131.240847	3.387528	0.004472	19.7
183	-1.049375	131.262076	3.387056	0.003842	21.0
184	-1.059794	131.293223	3.386363	0.010689	20.3
185	-1.051357	131.279550	3.386667	0.009983	19.3
186	-1.054104	132.279550	3.364572	0.007916	19.7
187	-1.048878	133.179318	3.344937	0.009853	20.0
188	-1.058089	134.179318	3.323382	0.009991	20.0
189	-1.060185	135.179318	3.302103	0.011717	19.6
190	-1.046842	136.179318	3.281094	0.013437	19.7
191	-1.054407	136.165644	3.281380	0.013575	19.4
192	-1.049352	137.165644	3.260633	0.009068	21.4
193	-1.054348	138.041626	3.242674	0.006312	20.5
194	-1.054704	138.171355	3.240031	0.004377	19.5
195	-1.049081	138.158100	3.240301	0.005367	20.5
196	-1.056616	139.143588	3.220361	0.008792	20.7
197	-1.059822	140.137980	3.200488	0.013269	19.9
198	-1.057826	141.137980	3.180749	0.007304	20.1
199	-1.054924	142.137980	3.161251	0.009906	19.4
200	-1.060754	143.137980	3.141992	0.013650	19.7
201	-1.043761	144.137980	3.122965	0.008074	20.1
202	-1.054139	145.137980	3.104168	0.014025	23.3
203	-1.054079	146.136665	3.085619	0.012003	19.9
204	-1.059636	147.136665	3.067268	0.011698	21.7
205	-1.057488	148.136665	3.049133	0.007447	22.9
206	-1.055209	149.136665	3.031211	0.001949	21.3
207	-1.049637	149.123091	3.031453	0.001893	19.7
208	-1.053348	149.130641	3.031318	0.004925	19.9
209	-1.055875	149.203901	3.030014	0.010188	19.8
210	-1.053951	150.203899	3.012315	0.004764	19.4
211	-1.051863	150.207008	3.012261	0.002780	20.0
212	-1.047025	150.193713	3.012495	0.008790	19.5
213	-1.047924	150.180041	3.012735	0.007796	19.7
214	-1.055202	151.180041	2.995238	0.008911	19.5
215	-1.043310	152.180041	2.977942	0.022363	19.5
216	-1.053431	153.180041	2.960845	0.006461	19.5
217	-1.048366	154.180041	2.943944	0.012335	19.9
218	-1.057139	154.166367	2.944173	0.012864	19.6
219	-1.050001	154.152693	2.944403	0.012317	19.6
220	-1.046741	155.152693	2.927688	0.005761	19.6
221	-1.046613	155.139019	2.927915	0.007241	19.9
222	-1.052168	155.125346	2.928143	0.003881	19.4
223	-1.049670	155.111672	2.928370	0.005127	20.4
224	-1.041239	155.959208	2.914345	0.005531	23.2
225	-1.058190	155.948105	2.914528	0.006042	19.5
226	-1.048979	155.934527	2.914751	0.007431	19.6
227	-1.052115	156.934527	2.898370	0.010318	22.7
228	-1.050368	156.920853	2.898593	0.004716	19.9
229	-1.051501	156.907179	2.898816	0.010603	19.9
230	-1.054188	157.907101	2.882614	0.007301	19.5
231	-1.050869	158.907101	2.866591	0.007353	19.5
232	-1.047868	159.874883	2.851254	0.005020	20.1
233	-1.044201	159.865232	2.851406	0.004652	19.6
234	-1.038858	160.788166	2.836929	0.009646	19.6
235	-1.047073	160.774492	2.837143	0.017790	19.7
236	-1.047630	161.774492	2.821620	0.004038	20.0
237	-1.046815	161.760818	2.821831	0.008850	21.5
238	-1.047145	161.808279	2.821098	0.013790	19.6
239	-1.047909	162.808279	2.805750	0.005977	20.2
240	-1.057891	163.808277	2.790568	0.010649	19.4
241	-1.057978	164.808277	2.775550	0.016250	19.8
